id	label	model
12764	Abusive	optimized-simple-banglabert
202933	None	optimized-simple-banglabert
165894	Abusive	optimized-simple-banglabert
124999	Profane	optimized-simple-banglabert
535301	Religious Hate	optimized-simple-banglabert
432948	Profane	optimized-simple-banglabert
34737	None	optimized-simple-banglabert
377091	Profane	optimized-simple-banglabert
840467	None	optimized-simple-banglabert
361701	None	optimized-simple-banglabert
184161	Abusive	optimized-simple-banglabert
531785	None	optimized-simple-banglabert
402930	Political Hate	optimized-simple-banglabert
578332	Political Hate	optimized-simple-banglabert
723077	Abusive	optimized-simple-banglabert
776755	Religious Hate	optimized-simple-banglabert
587800	Profane	optimized-simple-banglabert
869387	None	optimized-simple-banglabert
620490	Political Hate	optimized-simple-banglabert
241030	Abusive	optimized-simple-banglabert
764029	Religious Hate	optimized-simple-banglabert
174711	None	optimized-simple-banglabert
65995	Political Hate	optimized-simple-banglabert
871343	Abusive	optimized-simple-banglabert
715822	None	optimized-simple-banglabert
106487	None	optimized-simple-banglabert
764737	None	optimized-simple-banglabert
917460	None	optimized-simple-banglabert
531356	Abusive	optimized-simple-banglabert
266651	Political Hate	optimized-simple-banglabert
739854	None	optimized-simple-banglabert
266764	None	optimized-simple-banglabert
73332	None	optimized-simple-banglabert
760242	Abusive	optimized-simple-banglabert
320758	None	optimized-simple-banglabert
609567	Abusive	optimized-simple-banglabert
16555	Religious Hate	optimized-simple-banglabert
404893	Abusive	optimized-simple-banglabert
357862	None	optimized-simple-banglabert
624326	None	optimized-simple-banglabert
364169	Profane	optimized-simple-banglabert
631673	None	optimized-simple-banglabert
105543	Profane	optimized-simple-banglabert
699006	None	optimized-simple-banglabert
701268	None	optimized-simple-banglabert
742298	Abusive	optimized-simple-banglabert
643737	Profane	optimized-simple-banglabert
689092	None	optimized-simple-banglabert
563553	Abusive	optimized-simple-banglabert
662932	None	optimized-simple-banglabert
473263	Profane	optimized-simple-banglabert
422168	None	optimized-simple-banglabert
862941	None	optimized-simple-banglabert
342937	Profane	optimized-simple-banglabert
178372	Profane	optimized-simple-banglabert
916768	None	optimized-simple-banglabert
215239	Political Hate	optimized-simple-banglabert
763206	None	optimized-simple-banglabert
666182	None	optimized-simple-banglabert
503048	Political Hate	optimized-simple-banglabert
519953	Abusive	optimized-simple-banglabert
679666	None	optimized-simple-banglabert
237037	Abusive	optimized-simple-banglabert
561654	Abusive	optimized-simple-banglabert
335959	None	optimized-simple-banglabert
672138	None	optimized-simple-banglabert
705318	Sexism	optimized-simple-banglabert
251010	None	optimized-simple-banglabert
50757	Religious Hate	optimized-simple-banglabert
708711	Profane	optimized-simple-banglabert
379033	None	optimized-simple-banglabert
356889	None	optimized-simple-banglabert
380864	Abusive	optimized-simple-banglabert
357388	None	optimized-simple-banglabert
237264	Abusive	optimized-simple-banglabert
785645	None	optimized-simple-banglabert
10221	Religious Hate	optimized-simple-banglabert
51427	Abusive	optimized-simple-banglabert
327009	None	optimized-simple-banglabert
72638	None	optimized-simple-banglabert
454694	Abusive	optimized-simple-banglabert
531585	None	optimized-simple-banglabert
905729	None	optimized-simple-banglabert
826344	None	optimized-simple-banglabert
622615	Political Hate	optimized-simple-banglabert
341026	Abusive	optimized-simple-banglabert
756812	Religious Hate	optimized-simple-banglabert
446998	Religious Hate	optimized-simple-banglabert
507755	Abusive	optimized-simple-banglabert
252185	None	optimized-simple-banglabert
677872	Political Hate	optimized-simple-banglabert
573406	None	optimized-simple-banglabert
708512	None	optimized-simple-banglabert
35865	Political Hate	optimized-simple-banglabert
521314	None	optimized-simple-banglabert
629720	None	optimized-simple-banglabert
579590	None	optimized-simple-banglabert
420676	Political Hate	optimized-simple-banglabert
888468	Profane	optimized-simple-banglabert
507098	None	optimized-simple-banglabert
33791	None	optimized-simple-banglabert
628771	Abusive	optimized-simple-banglabert
197579	Political Hate	optimized-simple-banglabert
228413	Abusive	optimized-simple-banglabert
607208	None	optimized-simple-banglabert
482851	Abusive	optimized-simple-banglabert
641065	None	optimized-simple-banglabert
154089	None	optimized-simple-banglabert
21246	None	optimized-simple-banglabert
99970	None	optimized-simple-banglabert
243706	Abusive	optimized-simple-banglabert
366232	None	optimized-simple-banglabert
799431	Abusive	optimized-simple-banglabert
151836	Profane	optimized-simple-banglabert
384383	None	optimized-simple-banglabert
430350	Abusive	optimized-simple-banglabert
321512	None	optimized-simple-banglabert
791877	Political Hate	optimized-simple-banglabert
369126	Religious Hate	optimized-simple-banglabert
769210	None	optimized-simple-banglabert
389866	None	optimized-simple-banglabert
124392	None	optimized-simple-banglabert
111565	Abusive	optimized-simple-banglabert
87928	Political Hate	optimized-simple-banglabert
507897	Abusive	optimized-simple-banglabert
284276	None	optimized-simple-banglabert
211557	None	optimized-simple-banglabert
407528	Religious Hate	optimized-simple-banglabert
656024	None	optimized-simple-banglabert
163256	None	optimized-simple-banglabert
701482	None	optimized-simple-banglabert
28613	None	optimized-simple-banglabert
393451	None	optimized-simple-banglabert
130986	Abusive	optimized-simple-banglabert
47847	None	optimized-simple-banglabert
474831	Religious Hate	optimized-simple-banglabert
262358	Abusive	optimized-simple-banglabert
809182	None	optimized-simple-banglabert
912597	None	optimized-simple-banglabert
491193	None	optimized-simple-banglabert
605569	None	optimized-simple-banglabert
380424	Religious Hate	optimized-simple-banglabert
603456	Abusive	optimized-simple-banglabert
107100	Political Hate	optimized-simple-banglabert
626831	None	optimized-simple-banglabert
447213	None	optimized-simple-banglabert
697862	None	optimized-simple-banglabert
91497	Political Hate	optimized-simple-banglabert
652526	None	optimized-simple-banglabert
24792	None	optimized-simple-banglabert
571083	Abusive	optimized-simple-banglabert
890268	Profane	optimized-simple-banglabert
5297	Abusive	optimized-simple-banglabert
920594	Profane	optimized-simple-banglabert
172944	Political Hate	optimized-simple-banglabert
624079	None	optimized-simple-banglabert
770329	None	optimized-simple-banglabert
692607	Abusive	optimized-simple-banglabert
3052	None	optimized-simple-banglabert
844455	Abusive	optimized-simple-banglabert
814896	Profane	optimized-simple-banglabert
110591	Political Hate	optimized-simple-banglabert
180575	None	optimized-simple-banglabert
254322	None	optimized-simple-banglabert
574720	None	optimized-simple-banglabert
622377	None	optimized-simple-banglabert
623083	Political Hate	optimized-simple-banglabert
668718	Abusive	optimized-simple-banglabert
633172	None	optimized-simple-banglabert
6790	None	optimized-simple-banglabert
850984	Political Hate	optimized-simple-banglabert
500524	Political Hate	optimized-simple-banglabert
581344	None	optimized-simple-banglabert
654769	None	optimized-simple-banglabert
706547	None	optimized-simple-banglabert
603782	None	optimized-simple-banglabert
302171	None	optimized-simple-banglabert
744717	None	optimized-simple-banglabert
512972	None	optimized-simple-banglabert
