id	label	model
12764	Abusive	conservative-banglabert
202933	Political Hate	conservative-banglabert
165894	None	conservative-banglabert
124999	Profane	conservative-banglabert
535301	Religious Hate	conservative-banglabert
432948	Profane	conservative-banglabert
34737	None	conservative-banglabert
377091	Profane	conservative-banglabert
840467	None	conservative-banglabert
361701	None	conservative-banglabert
184161	Abusive	conservative-banglabert
531785	None	conservative-banglabert
402930	None	conservative-banglabert
578332	Political Hate	conservative-banglabert
723077	Abusive	conservative-banglabert
776755	Religious Hate	conservative-banglabert
587800	Profane	conservative-banglabert
869387	None	conservative-banglabert
620490	Political Hate	conservative-banglabert
241030	Abusive	conservative-banglabert
764029	Religious Hate	conservative-banglabert
174711	None	conservative-banglabert
65995	Political Hate	conservative-banglabert
871343	None	conservative-banglabert
715822	None	conservative-banglabert
106487	None	conservative-banglabert
764737	None	conservative-banglabert
917460	None	conservative-banglabert
531356	None	conservative-banglabert
266651	Political Hate	conservative-banglabert
739854	None	conservative-banglabert
266764	None	conservative-banglabert
73332	None	conservative-banglabert
760242	Abusive	conservative-banglabert
320758	None	conservative-banglabert
609567	Abusive	conservative-banglabert
16555	Abusive	conservative-banglabert
404893	Abusive	conservative-banglabert
357862	None	conservative-banglabert
624326	None	conservative-banglabert
364169	None	conservative-banglabert
631673	None	conservative-banglabert
105543	Profane	conservative-banglabert
699006	None	conservative-banglabert
701268	None	conservative-banglabert
742298	None	conservative-banglabert
643737	None	conservative-banglabert
689092	None	conservative-banglabert
563553	Abusive	conservative-banglabert
662932	None	conservative-banglabert
473263	Profane	conservative-banglabert
422168	None	conservative-banglabert
862941	Abusive	conservative-banglabert
342937	Profane	conservative-banglabert
178372	Abusive	conservative-banglabert
916768	None	conservative-banglabert
215239	Political Hate	conservative-banglabert
763206	None	conservative-banglabert
666182	None	conservative-banglabert
503048	Political Hate	conservative-banglabert
519953	Abusive	conservative-banglabert
679666	None	conservative-banglabert
237037	Abusive	conservative-banglabert
561654	None	conservative-banglabert
335959	None	conservative-banglabert
672138	None	conservative-banglabert
705318	Sexism	conservative-banglabert
251010	Political Hate	conservative-banglabert
50757	None	conservative-banglabert
708711	Profane	conservative-banglabert
379033	None	conservative-banglabert
356889	None	conservative-banglabert
380864	Abusive	conservative-banglabert
357388	None	conservative-banglabert
237264	Abusive	conservative-banglabert
785645	Political Hate	conservative-banglabert
10221	Abusive	conservative-banglabert
51427	None	conservative-banglabert
327009	None	conservative-banglabert
72638	None	conservative-banglabert
454694	Abusive	conservative-banglabert
531585	None	conservative-banglabert
905729	None	conservative-banglabert
826344	None	conservative-banglabert
622615	Political Hate	conservative-banglabert
341026	Abusive	conservative-banglabert
756812	None	conservative-banglabert
446998	Religious Hate	conservative-banglabert
507755	Abusive	conservative-banglabert
252185	None	conservative-banglabert
677872	Political Hate	conservative-banglabert
573406	None	conservative-banglabert
708512	None	conservative-banglabert
35865	Political Hate	conservative-banglabert
521314	None	conservative-banglabert
629720	None	conservative-banglabert
579590	None	conservative-banglabert
420676	None	conservative-banglabert
888468	Profane	conservative-banglabert
507098	None	conservative-banglabert
