id	label	model
12764	Abusive	optimized-simple-banglabert-v2
202933	None	optimized-simple-banglabert-v2
165894	Abusive	optimized-simple-banglabert-v2
124999	Profane	optimized-simple-banglabert-v2
535301	None	optimized-simple-banglabert-v2
432948	Profane	optimized-simple-banglabert-v2
34737	None	optimized-simple-banglabert-v2
377091	Profane	optimized-simple-banglabert-v2
840467	None	optimized-simple-banglabert-v2
361701	None	optimized-simple-banglabert-v2
184161	Profane	optimized-simple-banglabert-v2
531785	None	optimized-simple-banglabert-v2
402930	Political Hate	optimized-simple-banglabert-v2
578332	Political Hate	optimized-simple-banglabert-v2
723077	Abusive	optimized-simple-banglabert-v2
776755	Political Hate	optimized-simple-banglabert-v2
587800	Profane	optimized-simple-banglabert-v2
869387	None	optimized-simple-banglabert-v2
620490	Political Hate	optimized-simple-banglabert-v2
241030	Abusive	optimized-simple-banglabert-v2
764029	Religious Hate	optimized-simple-banglabert-v2
174711	None	optimized-simple-banglabert-v2
65995	Political Hate	optimized-simple-banglabert-v2
871343	None	optimized-simple-banglabert-v2
715822	None	optimized-simple-banglabert-v2
106487	None	optimized-simple-banglabert-v2
764737	None	optimized-simple-banglabert-v2
917460	None	optimized-simple-banglabert-v2
531356	Abusive	optimized-simple-banglabert-v2
266651	Political Hate	optimized-simple-banglabert-v2
739854	None	optimized-simple-banglabert-v2
266764	None	optimized-simple-banglabert-v2
73332	None	optimized-simple-banglabert-v2
760242	Abusive	optimized-simple-banglabert-v2
320758	None	optimized-simple-banglabert-v2
609567	Abusive	optimized-simple-banglabert-v2
16555	Abusive	optimized-simple-banglabert-v2
404893	Abusive	optimized-simple-banglabert-v2
357862	None	optimized-simple-banglabert-v2
624326	Abusive	optimized-simple-banglabert-v2
364169	Profane	optimized-simple-banglabert-v2
631673	None	optimized-simple-banglabert-v2
105543	Profane	optimized-simple-banglabert-v2
699006	None	optimized-simple-banglabert-v2
701268	None	optimized-simple-banglabert-v2
742298	Abusive	optimized-simple-banglabert-v2
643737	Abusive	optimized-simple-banglabert-v2
689092	None	optimized-simple-banglabert-v2
563553	Abusive	optimized-simple-banglabert-v2
662932	None	optimized-simple-banglabert-v2
473263	Profane	optimized-simple-banglabert-v2
422168	None	optimized-simple-banglabert-v2
862941	None	optimized-simple-banglabert-v2
342937	Profane	optimized-simple-banglabert-v2
178372	Abusive	optimized-simple-banglabert-v2
916768	None	optimized-simple-banglabert-v2
215239	Political Hate	optimized-simple-banglabert-v2
763206	Abusive	optimized-simple-banglabert-v2
666182	None	optimized-simple-banglabert-v2
503048	Political Hate	optimized-simple-banglabert-v2
519953	Abusive	optimized-simple-banglabert-v2
679666	None	optimized-simple-banglabert-v2
237037	Abusive	optimized-simple-banglabert-v2
561654	None	optimized-simple-banglabert-v2
335959	None	optimized-simple-banglabert-v2
672138	None	optimized-simple-banglabert-v2
705318	None	optimized-simple-banglabert-v2
251010	Political Hate	optimized-simple-banglabert-v2
50757	Abusive	optimized-simple-banglabert-v2
708711	Profane	optimized-simple-banglabert-v2
379033	None	optimized-simple-banglabert-v2
356889	None	optimized-simple-banglabert-v2
380864	Abusive	optimized-simple-banglabert-v2
357388	None	optimized-simple-banglabert-v2
237264	Abusive	optimized-simple-banglabert-v2
785645	None	optimized-simple-banglabert-v2
10221	None	optimized-simple-banglabert-v2
51427	None	optimized-simple-banglabert-v2
327009	None	optimized-simple-banglabert-v2
72638	None	optimized-simple-banglabert-v2
454694	Abusive	optimized-simple-banglabert-v2
531585	None	optimized-simple-banglabert-v2
905729	None	optimized-simple-banglabert-v2
826344	None	optimized-simple-banglabert-v2
622615	Political Hate	optimized-simple-banglabert-v2
341026	Abusive	optimized-simple-banglabert-v2
756812	None	optimized-simple-banglabert-v2
446998	Religious Hate	optimized-simple-banglabert-v2
507755	Abusive	optimized-simple-banglabert-v2
252185	None	optimized-simple-banglabert-v2
677872	Political Hate	optimized-simple-banglabert-v2
573406	None	optimized-simple-banglabert-v2
708512	None	optimized-simple-banglabert-v2
35865	Political Hate	optimized-simple-banglabert-v2
521314	None	optimized-simple-banglabert-v2
629720	None	optimized-simple-banglabert-v2
579590	None	optimized-simple-banglabert-v2
420676	Political Hate	optimized-simple-banglabert-v2
888468	Profane	optimized-simple-banglabert-v2
507098	None	optimized-simple-banglabert-v2
33791	None	optimized-simple-banglabert-v2
628771	Abusive	optimized-simple-banglabert-v2
197579	Political Hate	optimized-simple-banglabert-v2
228413	Abusive	optimized-simple-banglabert-v2
607208	None	optimized-simple-banglabert-v2
482851	Abusive	optimized-simple-banglabert-v2
641065	None	optimized-simple-banglabert-v2
154089	None	optimized-simple-banglabert-v2
21246	None	optimized-simple-banglabert-v2
99970	None	optimized-simple-banglabert-v2
243706	Political Hate	optimized-simple-banglabert-v2
366232	None	optimized-simple-banglabert-v2
799431	Abusive	optimized-simple-banglabert-v2
151836	Profane	optimized-simple-banglabert-v2
384383	None	optimized-simple-banglabert-v2
430350	Profane	optimized-simple-banglabert-v2
321512	None	optimized-simple-banglabert-v2
791877	Political Hate	optimized-simple-banglabert-v2
369126	Religious Hate	optimized-simple-banglabert-v2
769210	None	optimized-simple-banglabert-v2
389866	None	optimized-simple-banglabert-v2
124392	None	optimized-simple-banglabert-v2
111565	Abusive	optimized-simple-banglabert-v2
87928	Political Hate	optimized-simple-banglabert-v2
507897	Abusive	optimized-simple-banglabert-v2
284276	None	optimized-simple-banglabert-v2
211557	Political Hate	optimized-simple-banglabert-v2
407528	Abusive	optimized-simple-banglabert-v2
656024	None	optimized-simple-banglabert-v2
163256	Abusive	optimized-simple-banglabert-v2
701482	None	optimized-simple-banglabert-v2
28613	Political Hate	optimized-simple-banglabert-v2
393451	None	optimized-simple-banglabert-v2
130986	Abusive	optimized-simple-banglabert-v2
47847	None	optimized-simple-banglabert-v2
474831	Abusive	optimized-simple-banglabert-v2
262358	Abusive	optimized-simple-banglabert-v2
809182	None	optimized-simple-banglabert-v2
912597	None	optimized-simple-banglabert-v2
491193	None	optimized-simple-banglabert-v2
605569	Abusive	optimized-simple-banglabert-v2
380424	None	optimized-simple-banglabert-v2
603456	Abusive	optimized-simple-banglabert-v2
107100	Political Hate	optimized-simple-banglabert-v2
626831	None	optimized-simple-banglabert-v2
447213	None	optimized-simple-banglabert-v2
697862	None	optimized-simple-banglabert-v2
91497	Political Hate	optimized-simple-banglabert-v2
652526	None	optimized-simple-banglabert-v2
24792	None	optimized-simple-banglabert-v2
571083	Abusive	optimized-simple-banglabert-v2
890268	Profane	optimized-simple-banglabert-v2
5297	Abusive	optimized-simple-banglabert-v2
920594	Profane	optimized-simple-banglabert-v2
172944	Political Hate	optimized-simple-banglabert-v2
624079	None	optimized-simple-banglabert-v2
770329	None	optimized-simple-banglabert-v2
692607	Abusive	optimized-simple-banglabert-v2
3052	Political Hate	optimized-simple-banglabert-v2
844455	Profane	optimized-simple-banglabert-v2
814896	Profane	optimized-simple-banglabert-v2
110591	Political Hate	optimized-simple-banglabert-v2
180575	Political Hate	optimized-simple-banglabert-v2
254322	None	optimized-simple-banglabert-v2
574720	None	optimized-simple-banglabert-v2
622377	None	optimized-simple-banglabert-v2
623083	Political Hate	optimized-simple-banglabert-v2
668718	Abusive	optimized-simple-banglabert-v2
633172	None	optimized-simple-banglabert-v2
6790	None	optimized-simple-banglabert-v2
850984	Political Hate	optimized-simple-banglabert-v2
500524	Political Hate	optimized-simple-banglabert-v2
581344	None	optimized-simple-banglabert-v2
654769	None	optimized-simple-banglabert-v2
706547	None	optimized-simple-banglabert-v2
603782	None	optimized-simple-banglabert-v2
302171	None	optimized-simple-banglabert-v2
744717	None	optimized-simple-banglabert-v2
512972	None	optimized-simple-banglabert-v2
781353	None	optimized-simple-banglabert-v2
384814	None	optimized-simple-banglabert-v2
15032	None	optimized-simple-banglabert-v2
251425	Abusive	optimized-simple-banglabert-v2
813466	None	optimized-simple-banglabert-v2
675844	None	optimized-simple-banglabert-v2
2583	None	optimized-simple-banglabert-v2
659227	Abusive	optimized-simple-banglabert-v2
169886	None	optimized-simple-banglabert-v2
381979	Political Hate	optimized-simple-banglabert-v2
299641	Abusive	optimized-simple-banglabert-v2
704171	None	optimized-simple-banglabert-v2
618279	Abusive	optimized-simple-banglabert-v2
641060	Political Hate	optimized-simple-banglabert-v2
562096	Political Hate	optimized-simple-banglabert-v2
318122	Profane	optimized-simple-banglabert-v2
451639	None	optimized-simple-banglabert-v2
653504	None	optimized-simple-banglabert-v2
144836	Abusive	optimized-simple-banglabert-v2
426811	Abusive	optimized-simple-banglabert-v2
399359	None	optimized-simple-banglabert-v2
610564	Political Hate	optimized-simple-banglabert-v2
246780	None	optimized-simple-banglabert-v2
838887	None	optimized-simple-banglabert-v2
144994	None	optimized-simple-banglabert-v2
854277	None	optimized-simple-banglabert-v2
865313	None	optimized-simple-banglabert-v2
578428	None	optimized-simple-banglabert-v2
187917	None	optimized-simple-banglabert-v2
348388	Political Hate	optimized-simple-banglabert-v2
741123	None	optimized-simple-banglabert-v2
634544	None	optimized-simple-banglabert-v2
778366	Abusive	optimized-simple-banglabert-v2
441000	None	optimized-simple-banglabert-v2
377994	None	optimized-simple-banglabert-v2
362805	None	optimized-simple-banglabert-v2
12475	None	optimized-simple-banglabert-v2
460383	Abusive	optimized-simple-banglabert-v2
870913	Abusive	optimized-simple-banglabert-v2
2715	None	optimized-simple-banglabert-v2
921356	Abusive	optimized-simple-banglabert-v2
196647	Political Hate	optimized-simple-banglabert-v2
824151	None	optimized-simple-banglabert-v2
382540	Political Hate	optimized-simple-banglabert-v2
1087	None	optimized-simple-banglabert-v2
380610	None	optimized-simple-banglabert-v2
416517	None	optimized-simple-banglabert-v2
456028	Profane	optimized-simple-banglabert-v2
431471	Political Hate	optimized-simple-banglabert-v2
453235	Political Hate	optimized-simple-banglabert-v2
927587	None	optimized-simple-banglabert-v2
422259	None	optimized-simple-banglabert-v2
896697	None	optimized-simple-banglabert-v2
42562	None	optimized-simple-banglabert-v2
197313	Political Hate	optimized-simple-banglabert-v2
690302	Political Hate	optimized-simple-banglabert-v2
925174	None	optimized-simple-banglabert-v2
535584	Abusive	optimized-simple-banglabert-v2
931365	Abusive	optimized-simple-banglabert-v2
227393	Abusive	optimized-simple-banglabert-v2
329379	None	optimized-simple-banglabert-v2
56445	None	optimized-simple-banglabert-v2
546158	Political Hate	optimized-simple-banglabert-v2
258725	None	optimized-simple-banglabert-v2
175825	None	optimized-simple-banglabert-v2
937532	None	optimized-simple-banglabert-v2
833099	None	optimized-simple-banglabert-v2
321436	None	optimized-simple-banglabert-v2
755018	None	optimized-simple-banglabert-v2
798262	Political Hate	optimized-simple-banglabert-v2
866278	None	optimized-simple-banglabert-v2
210321	Political Hate	optimized-simple-banglabert-v2
363164	None	optimized-simple-banglabert-v2
370542	Abusive	optimized-simple-banglabert-v2
132703	None	optimized-simple-banglabert-v2
601946	Abusive	optimized-simple-banglabert-v2
897150	None	optimized-simple-banglabert-v2
256376	None	optimized-simple-banglabert-v2
240015	None	optimized-simple-banglabert-v2
259547	Abusive	optimized-simple-banglabert-v2
67131	Political Hate	optimized-simple-banglabert-v2
923885	Abusive	optimized-simple-banglabert-v2
226135	None	optimized-simple-banglabert-v2
662300	None	optimized-simple-banglabert-v2
677456	Political Hate	optimized-simple-banglabert-v2
485008	Political Hate	optimized-simple-banglabert-v2
529942	Profane	optimized-simple-banglabert-v2
914346	None	optimized-simple-banglabert-v2
298173	Political Hate	optimized-simple-banglabert-v2
446809	None	optimized-simple-banglabert-v2
671424	Abusive	optimized-simple-banglabert-v2
793955	Political Hate	optimized-simple-banglabert-v2
157776	Abusive	optimized-simple-banglabert-v2
283469	None	optimized-simple-banglabert-v2
