id	label	model
12764	Abusive	advanced-banglabert
202933	None	advanced-banglabert
165894	Abusive	advanced-banglabert
124999	Abusive	advanced-banglabert
535301	None	advanced-banglabert
432948	Profane	advanced-banglabert
34737	None	advanced-banglabert
377091	Profane	advanced-banglabert
840467	None	advanced-banglabert
361701	None	advanced-banglabert
184161	Profane	advanced-banglabert
531785	None	advanced-banglabert
402930	Political Hate	advanced-banglabert
578332	Political Hate	advanced-banglabert
723077	None	advanced-banglabert
776755	Abusive	advanced-banglabert
587800	Profane	advanced-banglabert
869387	None	advanced-banglabert
620490	Political Hate	advanced-banglabert
241030	Abusive	advanced-banglabert
764029	Religious Hate	advanced-banglabert
174711	None	advanced-banglabert
65995	Political Hate	advanced-banglabert
871343	Abusive	advanced-banglabert
715822	None	advanced-banglabert
106487	None	advanced-banglabert
764737	None	advanced-banglabert
917460	None	advanced-banglabert
531356	None	advanced-banglabert
266651	Political Hate	advanced-banglabert
739854	None	advanced-banglabert
266764	None	advanced-banglabert
73332	None	advanced-banglabert
760242	None	advanced-banglabert
320758	None	advanced-banglabert
609567	Abusive	advanced-banglabert
16555	Political Hate	advanced-banglabert
404893	Abusive	advanced-banglabert
357862	None	advanced-banglabert
624326	Abusive	advanced-banglabert
364169	Profane	advanced-banglabert
631673	None	advanced-banglabert
105543	Profane	advanced-banglabert
699006	None	advanced-banglabert
701268	None	advanced-banglabert
742298	Abusive	advanced-banglabert
643737	Abusive	advanced-banglabert
689092	None	advanced-banglabert
563553	Abusive	advanced-banglabert
662932	None	advanced-banglabert
473263	Profane	advanced-banglabert
422168	None	advanced-banglabert
862941	None	advanced-banglabert
342937	Profane	advanced-banglabert
178372	Abusive	advanced-banglabert
916768	None	advanced-banglabert
215239	Political Hate	advanced-banglabert
763206	Abusive	advanced-banglabert
666182	None	advanced-banglabert
503048	Political Hate	advanced-banglabert
519953	Abusive	advanced-banglabert
679666	None	advanced-banglabert
237037	Abusive	advanced-banglabert
561654	None	advanced-banglabert
335959	None	advanced-banglabert
672138	None	advanced-banglabert
705318	None	advanced-banglabert
251010	Political Hate	advanced-banglabert
50757	None	advanced-banglabert
708711	Abusive	advanced-banglabert
379033	Abusive	advanced-banglabert
356889	None	advanced-banglabert
380864	Abusive	advanced-banglabert
357388	None	advanced-banglabert
237264	None	advanced-banglabert
785645	None	advanced-banglabert
10221	None	advanced-banglabert
51427	Profane	advanced-banglabert
327009	None	advanced-banglabert
72638	None	advanced-banglabert
454694	Abusive	advanced-banglabert
531585	None	advanced-banglabert
905729	None	advanced-banglabert
826344	None	advanced-banglabert
622615	Political Hate	advanced-banglabert
341026	None	advanced-banglabert
756812	None	advanced-banglabert
446998	None	advanced-banglabert
507755	Abusive	advanced-banglabert
252185	None	advanced-banglabert
677872	Political Hate	advanced-banglabert
573406	None	advanced-banglabert
708512	None	advanced-banglabert
35865	Political Hate	advanced-banglabert
521314	None	advanced-banglabert
629720	None	advanced-banglabert
579590	None	advanced-banglabert
420676	Political Hate	advanced-banglabert
888468	Profane	advanced-banglabert
507098	None	advanced-banglabert
33791	None	advanced-banglabert
628771	Abusive	advanced-banglabert
197579	Political Hate	advanced-banglabert
228413	Abusive	advanced-banglabert
607208	None	advanced-banglabert
482851	Abusive	advanced-banglabert
641065	None	advanced-banglabert
154089	None	advanced-banglabert
21246	None	advanced-banglabert
99970	None	advanced-banglabert
243706	Political Hate	advanced-banglabert
366232	None	advanced-banglabert
799431	Abusive	advanced-banglabert
151836	Abusive	advanced-banglabert
384383	None	advanced-banglabert
430350	Profane	advanced-banglabert
321512	None	advanced-banglabert
791877	Political Hate	advanced-banglabert
369126	None	advanced-banglabert
769210	None	advanced-banglabert
389866	None	advanced-banglabert
124392	None	advanced-banglabert
111565	Abusive	advanced-banglabert
87928	Political Hate	advanced-banglabert
507897	Abusive	advanced-banglabert
284276	None	advanced-banglabert
211557	Political Hate	advanced-banglabert
407528	Abusive	advanced-banglabert
656024	None	advanced-banglabert
163256	None	advanced-banglabert
701482	None	advanced-banglabert
28613	Political Hate	advanced-banglabert
393451	None	advanced-banglabert
130986	None	advanced-banglabert
47847	None	advanced-banglabert
474831	Abusive	advanced-banglabert
262358	Abusive	advanced-banglabert
809182	None	advanced-banglabert
912597	None	advanced-banglabert
491193	None	advanced-banglabert
605569	None	advanced-banglabert
380424	None	advanced-banglabert
603456	Profane	advanced-banglabert
107100	Political Hate	advanced-banglabert
626831	None	advanced-banglabert
447213	None	advanced-banglabert
697862	None	advanced-banglabert
91497	Political Hate	advanced-banglabert
652526	None	advanced-banglabert
24792	None	advanced-banglabert
571083	Abusive	advanced-banglabert
890268	Profane	advanced-banglabert
5297	Abusive	advanced-banglabert
920594	Profane	advanced-banglabert
172944	Political Hate	advanced-banglabert
624079	None	advanced-banglabert
770329	None	advanced-banglabert
692607	Abusive	advanced-banglabert
3052	None	advanced-banglabert
844455	Profane	advanced-banglabert
814896	Profane	advanced-banglabert
110591	Political Hate	advanced-banglabert
180575	Political Hate	advanced-banglabert
254322	None	advanced-banglabert
574720	None	advanced-banglabert
622377	None	advanced-banglabert
623083	Political Hate	advanced-banglabert
668718	Abusive	advanced-banglabert
633172	None	advanced-banglabert
6790	None	advanced-banglabert
850984	Political Hate	advanced-banglabert
500524	Political Hate	advanced-banglabert
581344	None	advanced-banglabert
654769	None	advanced-banglabert
706547	None	advanced-banglabert
603782	None	advanced-banglabert
302171	None	advanced-banglabert
744717	None	advanced-banglabert
512972	None	advanced-banglabert
781353	None	advanced-banglabert
384814	None	advanced-banglabert
15032	None	advanced-banglabert
251425	Abusive	advanced-banglabert
813466	None	advanced-banglabert
675844	None	advanced-banglabert
2583	Religious Hate	advanced-banglabert
659227	Abusive	advanced-banglabert
169886	None	advanced-banglabert
381979	None	advanced-banglabert
299641	Abusive	advanced-banglabert
704171	None	advanced-banglabert
618279	Political Hate	advanced-banglabert
641060	Abusive	advanced-banglabert
562096	None	advanced-banglabert
318122	Profane	advanced-banglabert
451639	None	advanced-banglabert
653504	None	advanced-banglabert
144836	None	advanced-banglabert
426811	Abusive	advanced-banglabert
399359	None	advanced-banglabert
610564	Political Hate	advanced-banglabert
246780	None	advanced-banglabert
838887	None	advanced-banglabert
144994	None	advanced-banglabert
854277	None	advanced-banglabert
865313	None	advanced-banglabert
578428	None	advanced-banglabert
187917	None	advanced-banglabert
348388	Political Hate	advanced-banglabert
741123	None	advanced-banglabert
634544	None	advanced-banglabert
778366	None	advanced-banglabert
441000	None	advanced-banglabert
377994	None	advanced-banglabert
362805	None	advanced-banglabert
12475	None	advanced-banglabert
460383	Abusive	advanced-banglabert
870913	Abusive	advanced-banglabert
2715	None	advanced-banglabert
921356	None	advanced-banglabert
196647	Political Hate	advanced-banglabert
824151	None	advanced-banglabert
382540	Political Hate	advanced-banglabert
1087	None	advanced-banglabert
380610	None	advanced-banglabert
416517	None	advanced-banglabert
456028	Profane	advanced-banglabert
431471	None	advanced-banglabert
453235	Political Hate	advanced-banglabert
927587	None	advanced-banglabert
422259	None	advanced-banglabert
896697	None	advanced-banglabert
42562	None	advanced-banglabert
197313	Political Hate	advanced-banglabert
690302	Political Hate	advanced-banglabert
925174	None	advanced-banglabert
535584	Profane	advanced-banglabert
931365	Abusive	advanced-banglabert
227393	Abusive	advanced-banglabert
329379	None	advanced-banglabert
56445	None	advanced-banglabert
546158	Political Hate	advanced-banglabert
258725	None	advanced-banglabert
175825	None	advanced-banglabert
937532	None	advanced-banglabert
833099	Political Hate	advanced-banglabert
321436	None	advanced-banglabert
755018	None	advanced-banglabert
